location,day,so2,co,o3,no2,pm10,pm25
종로구,2022-04-01,0.003,0.4,0.034,0.017,15,10
종로구,2022-04-02,0.004,0.4,0.036,0.022,30,19
종로구,2022-04-03,0.004,0.5,0.041,0.024,43,30
종로구,2022-04-04,0.004,0.6,0.04,0.029,57,41
종로구,2022-04-05,0.004,0.5,0.044,0.032,43,29
종로구,2022-04-06,0.003,0.4,0.046,0.018,49,25
종로구,2022-04-07,0.003,0.4,0.04,0.016,34,11
종로구,2022-04-08,0.004,0.5,0.038,0.029,46,21
종로구,2022-04-09,0.004,0.6,0.044,0.031,51,26
종로구,2022-04-10,0.004,0.5,0.047,0.02,40,22
종로구,2022-04-11,0.003,0.4,0.03,0.023,34,18
종로구,2022-04-12,0.003,0.3,0.031,0.013,26,15
종로구,2022-04-13,0.002,0.3,0.03,0.012,13,7
종로구,2022-04-14,0.003,0.3,0.038,0.012,10,5
종로구,2022-04-15,0.003,0.4,0.041,0.013,18,9
종로구,2022-04-16,0.003,0.4,0.041,0.018,33,18
종로구,2022-04-17,0.003,0.5,0.052,0.018,51,29
종로구,2022-04-18,0.004,0.5,0.054,0.026,55,33
종로구,2022-04-19,0.004,0.6,0.052,0.03,65,40
종로구,2022-04-20,0.004,0.6,0.061,0.028,69,46
종로구,2022-04-21,0.004,0.6,0.053,0.026,49,29
종로구,2022-04-22,0.003,0.5,0.058,0.015,52,28
종로구,2022-04-23,0.003,0.5,0.043,0.023,49,32
종로구,2022-04-24,0.003,0.5,0.064,0.013,48,29
종로구,2022-04-25,0.003,0.6,0.041,0.023,46,30
종로구,2022-04-26,0.003,0.4,0.048,0.011,42,21
종로구,2022-04-27,0.003,0.3,0.041,0.014,142,18
종로구,2022-04-28,0.003,0.4,0.038,0.021,67,16
종로구,2022-04-29,0.002,0.3,0.041,0.009,8,3
종로구,2022-04-30,0.003,0.4,0.042,0.012,17,10
종로구,2022-05-01,0.003,0.4,0.048,0.012,41,15
종로구,2022-05-02,0.003,0.5,0.043,0.017,44,21
종로구,2022-05-03,0.003,0.4,0.043,0.022,34,21
종로구,2022-05-04,0.004,0.5,0.045,0.027,36,20
종로구,2022-05-05,0.004,0.5,0.049,0.019,32,17
종로구,2022-05-06,0.003,0.4,0.034,0.018,35,20
종로구,2022-05-07,0.002,0.3,0.042,0.009,28,12
종로구,2022-05-08,0.002,0.3,0.042,0.009,16,8
종로구,2022-05-09,0.002,0.3,0.041,0.015,15,8
종로구,2022-05-10,0.003,0.4,0.04,0.024,23,13
종로구,2022-05-11,0.003,0.4,0.053,0.017,28,14
종로구,2022-05-12,0.003,0.4,0.048,0.016,30,14
종로구,2022-05-13,0.003,0.4,0.042,0.013,26,12
종로구,2022-05-14,0.003,0.3,0.044,0.009,30,10
종로구,2022-05-15,0.003,0.3,0.049,0.007,22,9
종로구,2022-05-16,0.003,0.4,0.056,0.015,32,13
종로구,2022-05-17,0.004,0.5,0.074,0.017,50,27
종로구,2022-05-18,0.004,0.5,0.079,0.017,56,32
종로구,2022-05-19,0.004,0.4,0.071,0.014,44,22
종로구,2022-05-20,0.004,0.4,0.055,0.018,33,22
종로구,2022-05-21,0.003,0.4,0.043,0.014,34,23
종로구,2022-05-22,0.003,0.4,0.059,0.01,36,24
종로구,2022-05-23,0.004,0.5,0.072,0.018,61,40
종로구,2022-05-24,0.003,0.4,0.047,0.017,30,18
종로구,2022-05-25,0.003,0.3,0.042,0.018,22,13
종로구,2022-05-26,0.003,0.3,0.043,0.012,22,8
종로구,2022-05-27,0.003,0.4,0.05,0.013,23,10
종로구,2022-05-28,0.004,0.5,0.058,0.017,31,18
종로구,2022-05-29,0.003,0.4,0.066,0.007,27,20
종로구,2022-05-30,0.003,0.4,0.043,0.012,25,17
종로구,2022-05-31,0.003,0.4,0.042,0.018,24,9
종로구,2022-06-01,0.003,0.4,0.047,0.018,22,9
종로구,2022-06-02,0.003,0.4,0.052,0.014,27,15
종로구,2022-06-03,0.003,0.5,0.062,0.017,36,23
종로구,2022-06-04,0.003,0.4,0.059,0.014,33,20
종로구,2022-06-05,0.003,0.3,0.052,0.01,22,16
종로구,2022-06-06,0.003,0.3,0.031,0.006,7,3
종로구,2022-06-07,0.002,0.3,0.033,0.009,5,2
종로구,2022-06-08,0.002,0.3,0.038,0.012,14,8
종로구,2022-06-09,0.003,0.4,0.028,0.017,23,14
종로구,2022-06-10,0.003,0.4,0.03,0.018,25,17
종로구,2022-06-11,0.003,0.3,0.045,0.01,20,13
종로구,2022-06-12,0.003,0.3,0.057,0.008,21,14
종로구,2022-06-13,0.003,0.4,0.038,0.011,20,14
종로구,2022-06-14,0.002,0.3,0.033,0.007,11,5
종로구,2022-06-15,0.002,0.3,0.023,0.014,9,6
종로구,2022-06-16,0.003,0.4,0.026,0.015,13,9
종로구,2022-06-17,0.003,0.5,0.032,0.021,36,20
종로구,2022-06-18,0.003,0.4,0.025,0.014,22,13
종로구,2022-06-19,0.003,0.4,0.033,0.011,25,15
종로구,2022-06-20,0.003,0.4,0.036,0.015,24,15
종로구,2022-06-21,0.003,0.4,0.035,0.017,23,14
종로구,2022-06-22,0.003,0.4,0.039,0.019,24,15
종로구,2022-06-23,0.003,0.4,0.026,0.022,25,19
종로구,2022-06-24,0.003,0.4,0.04,0.013,20,14
종로구,2022-06-25,0.003,0.5,0.065,0.01,42,31
종로구,2022-06-26,0.003,0.3,0.03,0.009,22,12
종로구,2022-06-27,0.003,0.3,0.008,0.011,10,4
종로구,2022-06-28,0.003,0.2,0.013,0.007,15,6
종로구,2022-06-29,0.003,0.3,0.015,0.009,12,5
종로구,2022-06-30,0.003,0.3,0.032,0.017,4,2
종로구,2022-07-01,0.003,0.4,0.014,0.018,17,8
종로구,2022-07-02,0.003,0.4,0.04,0.012,25,15
종로구,2022-07-03,0.004,0.3,0.047,0.009,32,25
종로구,2022-07-04,0.003,0.4,0.033,0.015,32,26
종로구,2022-07-05,0.003,0.4,0.048,0.019,29,24
종로구,2022-07-06,0.003,0.4,0.037,0.016,26,20
종로구,2022-07-07,0.003,0.3,0.023,0.014,20,12
종로구,2022-07-08,0.003,0.3,0.042,0.015,25,18
종로구,2022-07-09,0.003,0.4,0.044,0.012,21,15
종로구,2022-07-10,0.004,0.5,0.065,0.016,38,27
종로구,2022-07-11,0.003,0.4,0.045,0.016,22,15
종로구,2022-07-12,0.003,0.3,0.033,0.014,10,5
종로구,2022-07-13,0.003,0.4,0.019,0.02,16,11
종로구,2022-07-14,0.003,0.4,0.035,0.013,11,8
종로구,2022-07-15,0.003,0.4,0.044,0.015,23,15
종로구,2022-07-16,0.003,0.5,0.047,0.016,28,21
종로구,2022-07-17,0.003,0.4,0.045,0.013,24,18
종로구,2022-07-18,0.003,0.4,0.047,0.016,24,18
종로구,2022-07-19,0.003,0.4,0.056,0.013,31,23
종로구,2022-07-20,0.003,0.4,0.055,0.014,32,21
종로구,2022-07-21,0.003,0.4,0.044,0.009,12,9
종로구,2022-07-22,0.003,0.4,0.048,0.011,25,17
종로구,2022-07-23,0.003,0.5,0.04,0.015,33,24
종로구,2022-07-24,0.003,0.4,0.044,0.008,16,13
